PassengerID,Survived,Prediction
720,0,0
721,1,0
722,0,0
723,0,1
724,0,1
725,1,1
726,0,1
727,1,1
729,0,0
730,0,0
731,1,1
732,0,1
734,0,1
735,0,1
736,0,0
737,0,0
738,1,1
742,0,0
743,1,1
744,0,0
745,1,1
746,0,1
747,0,1
748,1,1
749,0,1
750,0,1
751,1,1
752,1,1
753,0,1
754,0,0
755,1,0
756,1,1
757,0,0
758,0,0
759,0,1
760,1,0
762,0,0
763,1,0
764,1,1
765,0,0
766,1,0
768,0,1
770,0,1
771,0,0
772,0,0
773,0,1
775,1,0
776,0,1
778,1,1
780,1,1
781,1,0
782,1,1
783,0,0
785,0,1
786,0,1
787,1,1
788,0,0
789,1,1
790,0,1
792,0,0
795,0,0
796,0,0
797,1,0
798,1,1
799,0,1
800,0,0
801,0,0
802,1,1
803,1,0
804,1,0
805,1,0
806,0,1
807,0,1
808,0,0
809,0,1
810,1,1
811,0,1
812,0,0
813,0,1
814,0,1
815,0,1
817,0,1
818,0,0
819,0,1
820,0,0
821,1,0
822,1,0
823,0,0
824,1,0
825,0,0
828,1,1
830,1,0
831,1,1
832,1,1
834,0,0
835,0,1
836,1,1
837,0,0
839,1,0
841,0,1
842,0,0
843,1,0
844,0,1
845,0,1
846,0,0
848,0,0
849,0,0
851,0,0
852,0,0
853,0,0
854,1,0
855,0,1
856,1,0
857,1,0
858,1,1
859,1,1
861,0,0
862,0,0
863,1,1
865,0,0
866,1,0
867,1,0
868,0,0
870,1,0
871,0,1
872,1,0
873,0,0
874,0,0
875,1,0
876,1,0
877,0,0
878,0,0
880,1,1
881,1,0
882,0,1
883,0,0
884,0,0
885,0,0
886,0,0
887,0,0
888,1,0
890,1,0
891,0,1
